Name,Abbrev,Status,Year,City,Country,Mass(kg),Lat_n,Long_n
Elephant Moraine 92099,EET 92099,Official,1992,Antarctica,,0.0002,76,155.833
Elephant Moraine 92100,EET 92100,Official,1992,Antarctica,,0.0034,76.0333,156.3
Elephant Moraine 92101,EET 92101,Official,1992,Antarctica,,0.0033,76.0667,156.05
Elephant Moraine 92102,EET 92102,Official,1992,Antarctica,,0.0096,76.0333,156.183
Elephant Moraine 92103,EET 92103,Official,1992,Antarctica,,0.0015,76.0333,156.117
Elephant Moraine 92104,EET 92104,Official,1992,Antarctica,,0.0143,76.0333,156.183
Elephant Moraine 92105,EET 92105,Official,1992,Antarctica,,0.0182,76.05,156
Elephant Moraine 92106,EET 92106,Official,1992,Antarctica,,0.003,76.0667,156.05
Elephant Moraine 92107,EET 92107,Official,1992,Antarctica,,0.0109,76.0333,156.05
Elephant Moraine 92108,EET 92108,Official,1992,Antarctica,,0.0066,76.0333,156.117
Elephant Moraine 92109,EET 92109,Official,1992,Antarctica,,0.0002,76.0333,156.183
Elephant Moraine 92110,EET 92110,Official,1992,Antarctica,,0.0563,76.05,156.067
Elephant Moraine 92111,EET 92111,Official,1992,Antarctica,,0.0165,76.0333,156.117
Elephant Moraine 92112,EET 92112,Official,1992,Antarctica,,0.0004,76.0333,156.067
Elephant Moraine 92113,EET 92113,Official,1992,Antarctica,,0.0029,76.05,156.15
Elephant Moraine 92114,EET 92114,Official,1992,Antarctica,,0.002,76.0667,156.017
Elephant Moraine 92115,EET 92115,Official,1992,Antarctica,,0.0221,76.05,156.333
Elephant Moraine 92116,EET 92116,Official,1992,Antarctica,,0.0377,76.1,156.017
Elephant Moraine 92117,EET 92117,Official,1992,Antarctica,,0.0129,76.05,156.25
Elephant Moraine 92118,EET 92118,Official,1992,Antarctica,,0.0013,76.0333,156.283
Elephant Moraine 92119,EET 92119,Official,1992,Antarctica,,0.0321,76.0833,156.167
Elephant Moraine 92120,EET 92120,Official,1992,Antarctica,,0.0405,76.1,155.983
Elephant Moraine 92121,EET 92121,Official,1992,Antarctica,,0.021,76.0333,156.417
Elephant Moraine 92122,EET 92122,Official,1992,Antarctica,,0.0145,76.05,156.417
Elephant Moraine 92123,EET 92123,Official,1992,Antarctica,,0.0077,76.05,156.433
Elephant Moraine 92124,EET 92124,Official,1992,Antarctica,,0.0019,76.0333,156.35
Elephant Moraine 92125,EET 92125,Official,1992,Antarctica,,0.0008,76.0333,156.267
Elephant Moraine 92126,EET 92126,Official,1992,Antarctica,,0.0048,76.0333,156.333
Elephant Moraine 92127,EET 92127,Official,1992,Antarctica,,0.0012,76.0667,156.017
Elephant Moraine 92128,EET 92128,Official,1992,Antarctica,,0.0012,76.0333,156.317
Elephant Moraine 92129,EET 92129,Official,1992,Antarctica,,0.0038,76.05,156.333
Elephant Moraine 92130,EET 92130,Official,1992,Antarctica,,0.0439,76.0667,155.867
Elephant Moraine 92131,EET 92131,Official,1992,Antarctica,,0.0152,76.0167,156
Elephant Moraine 92132,EET 92132,Official,1992,Antarctica,,0.0112,76.0167,155.967
Elephant Moraine 92133,EET 92133,Official,1992,Antarctica,,0.0114,76,155.85
Elephant Moraine 92134,EET 92134,Official,1992,Antarctica,,0.0073,76.0333,155.85
Elephant Moraine 92135,EET 92135,Official,1992,Antarctica,,0.0176,76.0333,155.883
Elephant Moraine 92136,EET 92136,Official,1992,Antarctica,,0.0082,76.0167,156.017
Elephant Moraine 92137,EET 92137,Official,1992,Antarctica,,0.0017,76.0167,155.867
Elephant Moraine 92138,EET 92138,Official,1992,Antarctica,,0.0012,76,155.817
Elephant Moraine 92139,EET 92139,Official,1992,Antarctica,,0.0011,76,155.8
Elephant Moraine 92140,EET 92140,Official,1992,Antarctica,,0.0036,76.0167,155.9
Elephant Moraine 92141,EET 92141,Official,1992,Antarctica,,0.0009,76,155.7
Elephant Moraine 92142,EET 92142,Official,1992,Antarctica,,0.0009,76.0167,155.967
Elephant Moraine 92143,EET 92143,Official,1992,Antarctica,,0.0098,76.0333,156.017
Elephant Moraine 92144,EET 92144,Official,1992,Antarctica,,0.0126,76.0333,156.017
Elephant Moraine 92145,EET 92145,Official,1992,Antarctica,,0.0006,76.0333,156.05
Elephant Moraine 92146,EET 92146,Official,1992,Antarctica,,0.0014,76.0167,156.017
Elephant Moraine 92147,EET 92147,Official,1992,Antarctica,,0.0015,76.0167,156.033
Elephant Moraine 92149,EET 92149,Official,1992,Antarctica,,0.025,76.0167,156.033
Elephant Moraine 92150,EET 92150,Official,1992,Antarctica,,0.0188,76.0333,156.017
Elephant Moraine 92151,EET 92151,Official,1992,Antarctica,,0.0008,76.0333,156.3
Elephant Moraine 92152,EET 92152,Official,1992,Antarctica,,0.0388,76.0333,155.95
Elephant Moraine 92153,EET 92153,Official,1992,Antarctica,,0.0293,76.0167,155.733
Elephant Moraine 92154,EET 92154,Official,1992,Antarctica,,0.0202,76.0333,155.867
Elephant Moraine 92155,EET 92155,Official,1992,Antarctica,,0.003,76,155.75
Elephant Moraine 92156,EET 92156,Official,1992,Antarctica,,0.0004,76,155.833
Elephant Moraine 92157,EET 92157,Official,1992,Antarctica,,0.0064,76,155.85
Elephant Moraine 92158,EET 92158,Official,1992,Antarctica,,0.0054,76.0167,155.983
Elephant Moraine 92159,EET 92159,Official,1992,Antarctica,,0.0676,76.05,155.983
Elephant Moraine 92160,EET 92160,Official,1992,Antarctica,,0.0309,76.05,155.967
Elephant Moraine 92161,EET 92161,Official,1992,Antarctica,,0.0512,76.0333,156
Elephant Moraine 92162,EET 92162,Official,1992,Antarctica,,0.0316,76.05,156.017
Elephant Moraine 92163,EET 92163,Official,1992,Antarctica,,0.0334,76.0167,156.033
Elephant Moraine 92164,EET 92164,Official,1992,Antarctica,,0.0365,76.0333,156
Elephant Moraine 92165,EET 92165,Official,1992,Antarctica,,0.0347,76.0333,156.017
Elephant Moraine 92166,EET 92166,Official,1992,Antarctica,,0.0447,76.0167,156.017
Elephant Moraine 92167,EET 92167,Official,1992,Antarctica,,0.0264,76.0333,156.033
Elephant Moraine 92168,EET 92168,Official,1992,Antarctica,,0.0177,76.0333,156.017
Elephant Moraine 92169,EET 92169,Official,1992,Antarctica,,0.0215,76.05,156
Elephant Moraine 92170,EET 92170,Official,1992,Antarctica,,0.0171,76.0167,156.017
Elephant Moraine 92171,EET 92171,Official,1992,Antarctica,,0.024,76.0333,156.017
Elephant Moraine 92172,EET 92172,Official,1992,Antarctica,,0.0198,76.0333,156.05
Elephant Moraine 92173,EET 92173,Official,1992,Antarctica,,0.0455,76.0333,156.017
Elephant Moraine 92174,EET 92174,Official,1992,Antarctica,,0.0639,76.05,156
Elephant Moraine 92175,EET 92175,Official,1992,Antarctica,,0.041,76.0333,156.017
Elephant Moraine 92176,EET 92176,Official,1992,Antarctica,,0.0256,76.05,156
Elephant Moraine 92177,EET 92177,Official,1992,Antarctica,,0.0114,76.0333,156.017
Elephant Moraine 92178,EET 92178,Official,1992,Antarctica,,0.0195,76.05,156
Elephant Moraine 92179,EET 92179,Official,1992,Antarctica,,0.0215,76.05,155.983
Elephant Moraine 92180,EET 92180,Official,1992,Antarctica,,0.0147,76.0167,156.017
Elephant Moraine 92181,EET 92181,Official,1992,Antarctica,,0.0117,76.05,156.033
Elephant Moraine 92182,EET 92182,Official,1992,Antarctica,,0.0385,76.0167,155.95
Elephant Moraine 92183,EET 92183,Official,1992,Antarctica,,0.0077,76.0333,156.033
Elephant Moraine 92184,EET 92184,Official,1992,Antarctica,,0.012,76.0167,156.033
Elephant Moraine 92185,EET 92185,Official,1992,Antarctica,,0.01,76.0333,156.017
Elephant Moraine 92186,EET 92186,Official,1992,Antarctica,,0.0113,76.1833,157.167
Elephant Moraine 92187,EET 92187,Official,1992,Antarctica,,0.0147,76.05,155.95
Elephant Moraine 92188,EET 92188,Official,1992,Antarctica,,0.0003,85.6333,157.167
Elephant Moraine 92189,EET 92189,Official,1992,Antarctica,,0.0111,76.0333,156
Elephant Moraine 92190,EET 92190,Official,1992,Antarctica,,0.0134,76.05,155.983
Elephant Moraine 92191,EET 92191,Official,1992,Antarctica,,0.0178,76.05,155.967
Elephant Moraine 92192,EET 92192,Official,1992,Antarctica,,0.0062,76.0167,156.017
Elephant Moraine 92193,EET 92193,Official,1992,Antarctica,,22,76.0333,155.933
Elephant Moraine 96001,EET 96001,Official,1996,Antarctica,,0.0058,76.1833,157.167
Elephant Moraine 96002,EET 96002,Official,1996,Antarctica,,0.0101,76.1833,157.167
Elephant Moraine 96003,EET 96003,Official,1996,Antarctica,,0.0156,76.1833,157.167
Elephant Moraine 96004,EET 96004,Official,1996,Antarctica,,0.0134,76.1833,157.167
Elephant Moraine 96005,EET 96005,Official,1996,Antarctica,,0.00136,76.1833,157.167
Elephant Moraine 96006,EET 96006,Official,1996,Antarctica,,0.0422,76.1833,157.167
Elephant Moraine 96007,EET 96007,Official,1996,Antarctica,,0.0051,76.1833,157.167
Elephant Moraine 96008,EET 96008,Official,1996,Antarctica,,0.053,76.1833,157.167
Elephant Moraine 96009,EET 96009,Official,1996,Antarctica,,0.04,76.1833,157.167
Elephant Moraine 96010,EET 96010,Official,1996,Antarctica,,0.0163,76.1833,157.167
Elephant Moraine 96011,EET 96011,Official,1996,Antarctica,,0.0053,76.1833,157.167
Elephant Moraine 96012,EET 96012,Official,1996,Antarctica,,0.0094,76.1833,157.167
Elephant Moraine 96013,EET 96013,Official,1996,Antarctica,,0.00213,76.1833,157.167
Elephant Moraine 96014,EET 96014,Official,1996,Antarctica,,0.00234,76.1833,157.167
Elephant Moraine 96015,EET 96015,Official,1996,Antarctica,,0.00052,76.1833,157.167
Elephant Moraine 96016,EET 96016,Official,1996,Antarctica,,0.1321,76.1833,157.167
Elephant Moraine 96017,EET 96017,Official,1996,Antarctica,,0.0199,76.1833,157.167
Elephant Moraine 96018,EET 96018,Official,1996,Antarctica,,0.0059,76.1833,157.167
Elephant Moraine 96019,EET 96019,Official,1996,Antarctica,,0.0189,76.1833,157.167
Elephant Moraine 96020,EET 96020,Official,1996,Antarctica,,1.308,76.1833,157.167
Elephant Moraine 96021,EET 96021,Official,1996,Antarctica,,0.899,76.1833,157.167
Elephant Moraine 96022,EET 96022,Official,1996,Antarctica,,0.687,76.1833,157.167
Elephant Moraine 96023,EET 96023,Official,1996,Antarctica,,0.897,76.1833,157.167
Elephant Moraine 96024,EET 96024,Official,1996,Antarctica,,0.421,76.1833,157.167
Elephant Moraine 96025,EET 96025,Official,1996,Antarctica,,0.385,76.1833,157.167
Elephant Moraine 96026,EET 96026,Official,1996,Antarctica,,0.226,76.1833,157.167
Elephant Moraine 96027,EET 96027,Official,1996,Antarctica,,2.04,76.1833,157.167
Elephant Moraine 96028,EET 96028,Official,1996,Antarctica,,0.636,76.1833,157.167
Elephant Moraine 96029,EET 96029,Official,1996,Antarctica,,0.848,76.1833,157.167
Elephant Moraine 96030,EET 96030,Official,1996,Antarctica,,0.234,76.1833,157.167
Elephant Moraine 96031,EET 96031,Official,1996,Antarctica,,0.414,76.1833,157.167
Elephant Moraine 96032,EET 96032,Official,1996,Antarctica,,0.436,76.1833,157.167
Elephant Moraine 96033,EET 96033,Official,1996,Antarctica,,0.237,76.1833,157.167
Elephant Moraine 96034,EET 96034,Official,1996,Antarctica,,0.311,76.1833,157.167
Elephant Moraine 96035,EET 96035,Official,1996,Antarctica,,0.224,76.1833,157.167
Elephant Moraine 96036,EET 96036,Official,1996,Antarctica,,0.314,76.1833,157.167
Elephant Moraine 96037,EET 96037,Official,1996,Antarctica,,0.326,76.1833,157.167
Elephant Moraine 96038,EET 96038,Official,1996,Antarctica,,0.285,76.1833,157.167
Elephant Moraine 96039,EET 96039,Official,1996,Antarctica,,0.26,76.1833,157.167
Elephant Moraine 96040,EET 96040,Official,1996,Antarctica,,0.276,76.1833,157.167
Elephant Moraine 96041,EET 96041,Official,1996,Antarctica,,0.28,76.1833,157.167
Elephant Moraine 96042,EET 96042,Official,1996,Antarctica,,0.25,76.1833,157.167
Elephant Moraine 96043,EET 96043,Official,1996,Antarctica,,0.393,76.1833,157.167
Elephant Moraine 96044,EET 96044,Official,1996,Antarctica,,0.1795,76.1833,157.167
Elephant Moraine 96045,EET 96045,Official,1996,Antarctica,,0.1114,76.1833,157.167
Elephant Moraine 96046,EET 96046,Official,1996,Antarctica,,0.1175,76.1833,157.167
Elephant Moraine 96047,EET 96047,Official,1996,Antarctica,,0.1394,76.1833,157.167
Elephant Moraine 96048,EET 96048,Official,1996,Antarctica,,0.342,76.1833,157.167
Elephant Moraine 96049,EET 96049,Official,1996,Antarctica,,0.1883,76.1833,157.167
Elephant Moraine 96050,EET 96050,Official,1996,Antarctica,,0.1951,76.1833,157.167
Elephant Moraine 96051,EET 96051,Official,1996,Antarctica,,0.1547,76.1833,157.167
Elephant Moraine 96052,EET 96052,Official,1996,Antarctica,,0.1649,76.1833,157.167
Elephant Moraine 96053,EET 96053,Official,1996,Antarctica,,0.1877,76.1833,157.167
Elephant Moraine 96054,EET 96054,Official,1996,Antarctica,,0.1562,76.1833,157.167
Elephant Moraine 96055,EET 96055,Official,1996,Antarctica,,0.206,76.1833,157.167
Elephant Moraine 96056,EET 96056,Official,1996,Antarctica,,0.1401,76.1833,157.167
Elephant Moraine 96057,EET 96057,Official,1996,Antarctica,,0.1997,76.1833,157.167
Elephant Moraine 96058,EET 96058,Official,1996,Antarctica,,0.185,76.1833,157.167
Elephant Moraine 96059,EET 96059,Official,1996,Antarctica,,0.0042,76.1833,157.167
Elephant Moraine 96060,EET 96060,Official,1996,Antarctica,,0.0848,76.1833,157.167
Elephant Moraine 96061,EET 96061,Official,1996,Antarctica,,0.0984,76.1833,157.167
Elephant Moraine 96062,EET 96062,Official,1996,Antarctica,,0.1228,76.1833,157.167
Elephant Moraine 96063,EET 96063,Official,1996,Antarctica,,0.0831,76.1833,157.167
Elephant Moraine 96064,EET 96064,Official,1996,Antarctica,,0.0245,76.1833,157.167
Elephant Moraine 96065,EET 96065,Official,1996,Antarctica,,0.0033,76.1833,157.167
Elephant Moraine 96066,EET 96066,Official,1996,Antarctica,,0.0169,76.1833,157.167
Elephant Moraine 96067,EET 96067,Official,1996,Antarctica,,0.0085,76.1833,157.167
Elephant Moraine 96068,EET 96068,Official,1996,Antarctica,,0.0084,76.1833,157.167
Elephant Moraine 96069,EET 96069,Official,1996,Antarctica,,0.005,76.1833,157.167
Elephant Moraine 96070,EET 96070,Official,1996,Antarctica,,0.0024,76.1833,157.167
Elephant Moraine 96071,EET 96071,Official,1996,Antarctica,,0.0007,76.1833,157.167
Elephant Moraine 96072,EET 96072,Official,1996,Antarctica,,0.0014,76.1833,157.167
Elephant Moraine 96073,EET 96073,Official,1996,Antarctica,,0.0097,76.1833,157.167
Elephant Moraine 96074,EET 96074,Official,1996,Antarctica,,0.0253,76.1833,157.167
Elephant Moraine 96075,EET 96075,Official,1996,Antarctica,,0.0117,76.1833,157.167
Elephant Moraine 96076,EET 96076,Official,1996,Antarctica,,0.0032,76.1833,157.167
Elephant Moraine 96077,EET 96077,Official,1996,Antarctica,,0.0002,76.1833,157.167
Elephant Moraine 96078,EET 96078,Official,1996,Antarctica,,0.0026,76.1833,157.167
Elephant Moraine 96079,EET 96079,Official,1996,Antarctica,,0.0009,76.1833,157.167
Elephant Moraine 96080,EET 96080,Official,1996,Antarctica,,0.0281,76.1833,157.167
Elephant Moraine 96081,EET 96081,Official,1996,Antarctica,,0.0044,76.1833,157.167
Elephant Moraine 96082,EET 96082,Official,1996,Antarctica,,0.0046,76.1833,157.167
Elephant Moraine 96083,EET 96083,Official,1996,Antarctica,,0.0432,76.1833,157.167
Elephant Moraine 96084,EET 96084,Official,1996,Antarctica,,0.0046,76.1833,157.167
Elephant Moraine 96085,EET 96085,Official,1996,Antarctica,,0.0034,76.1833,157.167
Elephant Moraine 96086,EET 96086,Official,1996,Antarctica,,0.0046,76.1833,157.167
Elephant Moraine 96087,EET 96087,Official,1996,Antarctica,,0.0134,76.1833,157.167
Elephant Moraine 96088,EET 96088,Official,1996,Antarctica,,0.0404,76.1833,157.167
Elephant Moraine 96089,EET 96089,Official,1996,Antarctica,,0.0089,76.1833,157.167
Elephant Moraine 96090,EET 96090,Official,1996,Antarctica,,0.04,76.1833,157.167
Elephant Moraine 96091,EET 96091,Official,1996,Antarctica,,0.003,76.1833,157.167
Elephant Moraine 96092,EET 96092,Official,1996,Antarctica,,0.0571,76.1833,157.167
Elephant Moraine 96093,EET 96093,Official,1996,Antarctica,,0.1281,76.1833,157.167
Elephant Moraine 96094,EET 96094,Official,1996,Antarctica,,0.0725,76.1833,157.167
Elephant Moraine 96095,EET 96095,Official,1996,Antarctica,,0.0316,76.1833,157.167
Elephant Moraine 96096,EET 96096,Official,1996,Antarctica,,0.0127,76.1833,157.167
Elephant Moraine 96097,EET 96097,Official,1996,Antarctica,,0.0129,76.1833,157.167
Elephant Moraine 96098,EET 96098,Official,1996,Antarctica,,0.0153,76.1833,157.167
Elephant Moraine 96099,EET 96099,Official,1996,Antarctica,,0.0059,76.1833,157.167
Elephant Moraine 96100,EET 96100,Official,1996,Antarctica,,0.03,76.1833,157.167
Elephant Moraine 96101,EET 96101,Official,1996,Antarctica,,0.0754,76.1833,157.167
Elephant Moraine 96102,EET 96102,Official,1996,Antarctica,,0.0768,76.1833,157.167
Elephant Moraine 96103,EET 96103,Official,1996,Antarctica,,0.0043,76.1833,157.167
Elephant Moraine 96104,EET 96104,Official,1996,Antarctica,,0.0265,76.1833,157.167
Elephant Moraine 96105,EET 96105,Official,1996,Antarctica,,0.0219,76.1833,157.167
Elephant Moraine 96106,EET 96106,Official,1996,Antarctica,,0.0211,76.1833,157.167
Elephant Moraine 96107,EET 96107,Official,1996,Antarctica,,0.0015,76.1833,157.167
Elephant Moraine 96108,EET 96108,Official,1996,Antarctica,,0.0014,76.1833,157.167
Elephant Moraine 96109,EET 96109,Official,1996,Antarctica,,0.0009,76.1833,157.167
Elephant Moraine 96110,EET 96110,Official,1996,Antarctica,,0.0022,76.1833,157.167
Elephant Moraine 96111,EET 96111,Official,1996,Antarctica,,0.0463,76.1833,157.167
Elephant Moraine 96112,EET 96112,Official,1996,Antarctica,,0.0006,76.1833,157.167
Elephant Moraine 96113,EET 96113,Official,1996,Antarctica,,0.0007,76.1833,157.167
Elephant Moraine 96114,EET 96114,Official,1996,Antarctica,,0.0005,76.1833,157.167
Elephant Moraine 96115,EET 96115,Official,1996,Antarctica,,0.0044,76.1833,157.167
Elephant Moraine 96116,EET 96116,Official,1996,Antarctica,,0.0015,76.1833,157.167
Elephant Moraine 96117,EET 96117,Official,1996,Antarctica,,0.019,76.1833,157.167
Elephant Moraine 96118,EET 96118,Official,1996,Antarctica,,0.0063,76.1833,157.167
Elephant Moraine 96120,EET 96120,Official,1996,Antarctica,,0.0009,76.1833,157.167
Elephant Moraine 96122,EET 96122,Official,1996,Antarctica,,0.0289,76.1833,157.167
Elephant Moraine 96123,EET 96123,Official,1996,Antarctica,,0.0085,76.1833,157.167
Elephant Moraine 96124,EET 96124,Official,1996,Antarctica,,0.0059,76.1833,157.167
Elephant Moraine 96125,EET 96125,Official,1996,Antarctica,,0.0009,76.1833,157.167
Elephant Moraine 96126,EET 96126,Official,1996,Antarctica,,0.0024,76.1833,157.167
Elephant Moraine 96127,EET 96127,Official,1996,Antarctica,,0.0442,76.1833,157.167
Elephant Moraine 96128,EET 96128,Official,1996,Antarctica,,0.0069,76.1833,157.167
Elephant Moraine 96129,EET 96129,Official,1996,Antarctica,,0.0667,76.1833,157.167
Elephant Moraine 96130,EET 96130,Official,1996,Antarctica,,0.034,76.1833,157.167
Elephant Moraine 96131,EET 96131,Official,1996,Antarctica,,0.0018,76.1833,157.167
Elephant Moraine 96132,EET 96132,Official,1996,Antarctica,,0.0977,76.1833,157.167
Elephant Moraine 96133,EET 96133,Official,1996,Antarctica,,0.0138,76.1833,157.167
Elephant Moraine 96134,EET 96134,Official,1996,Antarctica,,0.0977,76.1833,157.167
Elephant Moraine 96135,EET 96135,Official,1996,Antarctica,,0.0957,76.1833,157.167
Elephant Moraine 96136,EET 96136,Official,1996,Antarctica,,0.0677,76.1833,157.167
Elephant Moraine 96137,EET 96137,Official,1996,Antarctica,,0.037,76.1833,157.167
Elephant Moraine 96138,EET 96138,Official,1996,Antarctica,,0.0496,76.1833,157.167
Elephant Moraine 96139,EET 96139,Official,1996,Antarctica,,0.1222,76.1833,157.167
Elephant Moraine 96140,EET 96140,Official,1996,Antarctica,,0.0456,76.1833,157.167
Elephant Moraine 96141,EET 96141,Official,1996,Antarctica,,0.0139,76.1833,157.167
Elephant Moraine 96142,EET 96142,Official,1996,Antarctica,,0.0019,76.1833,157.167
Elephant Moraine 96143,EET 96143,Official,1996,Antarctica,,0.0357,76.1833,157.167
Elephant Moraine 96144,EET 96144,Official,1996,Antarctica,,0.003,76.1833,157.167
Elephant Moraine 96145,EET 96145,Official,1996,Antarctica,,0.004,76.1833,157.167
Elephant Moraine 96146,EET 96146,Official,1996,Antarctica,,0.0022,76.1833,157.167
Elephant Moraine 96147,EET 96147,Official,1996,Antarctica,,0.002,76.1833,157.167
Elephant Moraine 96148,EET 96148,Official,1996,Antarctica,,0.0007,76.1833,157.167
Elephant Moraine 96149,EET 96149,Official,1996,Antarctica,,0.0004,76.1833,157.167
Elephant Moraine 96150,EET 96150,Official,1996,Antarctica,,0.0021,76.1833,157.167
Elephant Moraine 96151,EET 96151,Official,1996,Antarctica,,0.0014,76.1833,157.167
Elephant Moraine 96152,EET 96152,Official,1996,Antarctica,,0.0634,76.1833,157.167
Elephant Moraine 96153,EET 96153,Official,1996,Antarctica,,0.0053,76.1833,157.167
Elephant Moraine 96154,EET 96154,Official,1996,Antarctica,,0.0037,76.1833,157.167
Elephant Moraine 96155,EET 96155,Official,1996,Antarctica,,0.0175,76.1833,157.167
Elephant Moraine 96156,EET 96156,Official,1996,Antarctica,,0.0743,76.1833,157.167
Elephant Moraine 96157,EET 96157,Official,1996,Antarctica,,0.0332,76.1833,157.167
Elephant Moraine 96158,EET 96158,Official,1996,Antarctica,,0.0153,76.1833,157.167
Elephant Moraine 96159,EET 96159,Official,1996,Antarctica,,0.0045,76.1833,157.167
Elephant Moraine 96160,EET 96160,Official,1996,Antarctica,,0.0009,76.1833,157.167
Elephant Moraine 96161,EET 96161,Official,1996,Antarctica,,0.0023,76.1833,157.167
Elephant Moraine 96162,EET 96162,Official,1996,Antarctica,,0.0161,76.1833,157.167
Elephant Moraine 96163,EET 96163,Official,1996,Antarctica,,0.0006,76.1833,157.167
Elephant Moraine 96164,EET 96164,Official,1996,Antarctica,,0.0022,76.1833,157.167
Elephant Moraine 96165,EET 96165,Official,1996,Antarctica,,0.025,76.1833,157.167
Elephant Moraine 96166,EET 96166,Official,1996,Antarctica,,0.0039,76.1833,157.167
Elephant Moraine 96167,EET 96167,Official,1996,Antarctica,,0.0404,76.1833,157.167
Elephant Moraine 96168,EET 96168,Official,1996,Antarctica,,0.0026,76.1833,157.167
Elephant Moraine 96169,EET 96169,Official,1996,Antarctica,,0.0103,76.1833,157.167
Elephant Moraine 96170,EET 96170,Official,1996,Antarctica,,0.0112,76.1833,157.167
Elephant Moraine 96171,EET 96171,Official,1996,Antarctica,,0.0276,76.1833,157.167
Elephant Moraine 96172,EET 96172,Official,1996,Antarctica,,0.0038,76.1833,157.167
Elephant Moraine 96173,EET 96173,Official,1996,Antarctica,,0.0006,76.1833,157.167
Elephant Moraine 96174,EET 96174,Official,1996,Antarctica,,0.0145,76.1833,157.167
Elephant Moraine 96175,EET 96175,Official,1996,Antarctica,,0.0014,76.1833,157.167
Elephant Moraine 96176,EET 96176,Official,1996,Antarctica,,0.0193,76.1833,157.167
Elephant Moraine 96177,EET 96177,Official,1996,Antarctica,,0.0078,76.1833,157.167
Elephant Moraine 96178,EET 96178,Official,1996,Antarctica,,0.0214,76.1833,157.167
Elephant Moraine 96179,EET 96179,Official,1996,Antarctica,,0.0053,76.1833,157.167
Elephant Moraine 96180,EET 96180,Official,1996,Antarctica,,0.0084,76.1833,157.167
Elephant Moraine 96181,EET 96181,Official,1996,Antarctica,,0.0291,76.1833,157.167
Elephant Moraine 96182,EET 96182,Official,1996,Antarctica,,0.0041,76.1833,157.167
Elephant Moraine 96183,EET 96183,Official,1996,Antarctica,,0.001,76.1833,157.167
Elephant Moraine 96184,EET 96184,Official,1996,Antarctica,,0.0152,76.1833,157.167
Elephant Moraine 96185,EET 96185,Official,1996,Antarctica,,0.0045,76.1833,157.167
Elephant Moraine 96186,EET 96186,Official,1996,Antarctica,,0.1013,76.1833,157.167
Elephant Moraine 96187,EET 96187,Official,1996,Antarctica,,0.0006,76.1833,157.167
Elephant Moraine 96188,EET 96188,Official,1996,Antarctica,,0.0164,76.1833,157.167
Elephant Moraine 96189,EET 96189,Official,1996,Antarctica,,0.031,76.1833,157.167
Elephant Moraine 96190,EET 96190,Official,1996,Antarctica,,0.0608,76.1833,157.167
Elephant Moraine 96191,EET 96191,Official,1996,Antarctica,,0.0007,76.1833,157.167
Elephant Moraine 96192,EET 96192,Official,1996,Antarctica,,0.0573,76.1833,157.167
Elephant Moraine 96194,EET 96194,Official,1996,Antarctica,,0.0011,76.1833,157.167
Elephant Moraine 96195,EET 96195,Official,1996,Antarctica,,0.0017,76.1833,157.167
Elephant Moraine 96196,EET 96196,Official,1996,Antarctica,,0.0005,76.1833,157.167
Elephant Moraine 96197,EET 96197,Official,1996,Antarctica,,0.0032,76.1833,157.167
Elephant Moraine 96198,EET 96198,Official,1996,Antarctica,,0.0003,76.1833,157.167
Elephant Moraine 96199,EET 96199,Official,1996,Antarctica,,0.0049,76.1833,157.167
Elephant Moraine 96200,EET 96200,Official,1996,Antarctica,,0.065,76.1833,157.167
Elephant Moraine 96201,EET 96201,Official,1996,Antarctica,,0.0084,76.1833,157.167
Elephant Moraine 96202,EET 96202,Official,1996,Antarctica,,0.0037,76.1833,157.167
Elephant Moraine 96203,EET 96203,Official,1996,Antarctica,,0.0003,76.1833,157.167
Elephant Moraine 96204,EET 96204,Official,1996,Antarctica,,0.0121,76.1833,157.167
Elephant Moraine 96205,EET 96205,Official,1996,Antarctica,,0.0188,76.1833,157.167
Elephant Moraine 96206,EET 96206,Official,1996,Antarctica,,0.0031,76.1833,157.167
Elephant Moraine 96207,EET 96207,Official,1996,Antarctica,,0.0026,76.1833,157.167
Elephant Moraine 96208,EET 96208,Official,1996,Antarctica,,0.0147,76.1833,157.167
Elephant Moraine 96209,EET 96209,Official,1996,Antarctica,,0.001,76.1833,157.167
Elephant Moraine 96210,EET 96210,Official,1996,Antarctica,,0.0017,76.1833,157.167
Elephant Moraine 96211,EET 96211,Official,1996,Antarctica,,0.1139,76.1833,157.167
Elephant Moraine 96212,EET 96212,Official,1996,Antarctica,,0.1071,76.1833,157.167
Elephant Moraine 96213,EET 96213,Official,1996,Antarctica,,0.0199,76.1833,157.167
Elephant Moraine 96214,EET 96214,Official,1996,Antarctica,,0.0059,76.1833,157.167
Elephant Moraine 96215,EET 96215,Official,1996,Antarctica,,0.0156,76.1833,157.167
Elephant Moraine 96216,EET 96216,Official,1996,Antarctica,,0.0009,76.1833,157.167
Elephant Moraine 96217,EET 96217,Official,1996,Antarctica,,0.0101,76.1833,157.167
Elephant Moraine 96218,EET 96218,Official,1996,Antarctica,,0.0166,76.1833,157.167
Elephant Moraine 96219,EET 96219,Official,1996,Antarctica,,0.0183,76.1833,157.167
Elephant Moraine 96220,EET 96220,Official,1996,Antarctica,,0.0029,76.1833,157.167
Elephant Moraine 96221,EET 96221,Official,1996,Antarctica,,0.0243,76.1833,157.167
